"tp","tn","fp","fn","precision","recall","k_value"
16,78,2,3,0.89,0.84,0.4
16,78,2,3,0.89,0.84,0.4
16,78,2,3,0.89,0.84,0.4
16,78,2,3,0.89,0.84,0.4
16,78,2,3,0.89,0.84,0.4
16,78,2,3,0.89,0.84,0.4
16,78,2,3,0.89,0.84,0.4
16,78,2,3,0.89,0.84,0.4
16,78,2,3,0.89,0.84,0.4
16,78,2,3,0.89,0.84,0.4
16,78,2,3,0.89,0.84,0.5
16,78,2,3,0.89,0.84,0.5
16,78,2,3,0.89,0.84,0.5
16,78,2,3,0.89,0.84,0.5
16,78,2,3,0.89,0.84,0.5
16,78,2,3,0.89,0.84,0.5
16,78,2,3,0.89,0.84,0.5
16,78,2,3,0.89,0.84,0.5
16,78,2,3,0.89,0.84,0.5
16,78,2,3,0.89,0.84,0.5
16,78,2,3,0.89,0.84,0.6
16,78,2,3,0.89,0.84,0.6
16,78,2,3,0.89,0.84,0.6
16,78,2,3,0.89,0.84,0.6
16,78,2,3,0.89,0.84,0.6
16,78,2,3,0.89,0.84,0.6
16,78,2,3,0.89,0.84,0.6
16,78,2,3,0.89,0.84,0.6
16,78,2,3,0.89,0.84,0.6
16,78,2,3,0.89,0.84,0.6
16,78,2,3,0.89,0.84,0.7
16,78,2,3,0.89,0.84,0.7
16,78,2,3,0.89,0.84,0.7
16,78,2,3,0.89,0.84,0.7
16,78,2,3,0.89,0.84,0.7
16,78,2,3,0.89,0.84,0.7
16,78,2,3,0.89,0.84,0.7
16,78,2,3,0.89,0.84,0.7
16,78,2,3,0.89,0.84,0.7
16,78,2,3,0.89,0.84,0.7
16,78,2,3,0.89,0.84,0.8
16,78,2,3,0.89,0.84,0.8
16,78,2,3,0.89,0.84,0.8
16,78,2,3,0.89,0.84,0.8
16,78,2,3,0.89,0.84,0.8
16,78,2,3,0.89,0.84,0.8
16,78,2,3,0.89,0.84,0.8
16,78,2,3,0.89,0.84,0.8
16,78,2,3,0.89,0.84,0.8
16,78,2,3,0.89,0.84,0.8
16,78,2,3,0.89,0.84,0.9
16,78,2,3,0.89,0.84,0.9
16,78,2,3,0.89,0.84,0.9
16,78,2,3,0.89,0.84,0.9
16,78,2,3,0.89,0.84,0.9
16,78,2,3,0.89,0.84,0.9
16,78,2,3,0.89,0.84,0.9
16,78,2,3,0.89,0.84,0.9
16,78,2,3,0.89,0.84,0.9
16,78,2,3,0.89,0.84,0.9
16,78,2,3,0.89,0.84,1
16,78,2,3,0.89,0.84,1
16,78,2,3,0.89,0.84,1
16,78,2,3,0.89,0.84,1
16,78,2,3,0.89,0.84,1
16,78,2,3,0.89,0.84,1
16,78,2,3,0.89,0.84,1
16,78,2,3,0.89,0.84,1
16,78,2,3,0.89,0.84,1
16,78,2,3,0.89,0.84,1
